2026-01-02 17:34:20,869 | INFO | libs.flows.windows.wja.wja_device_tree_page | Selecting tree item: new
2026-01-02 17:34:21,976 | INFO | libs.flows.windows.wja.wja_device_tree_page | Caching tree item: \Ungrouped Devices
2026-01-02 17:34:22,088 | INFO | libs.flows.windows.wja.wja_device_tree_page | Selecting tree item: ungrouped
2026-01-02 17:34:23,221 | INFO | pytest | ⏱ windows/wja/test_wja3_tree_navigate.py::test_device_navigation_tree_items took 29.07s
2026-01-02 17:34:39,244 | INFO | libs.flows.windows.wja.wja_navigation_page | Navigating to Overview
2026-01-02 17:34:41,606 | INFO | libs.flows.windows.wja.wja_navigation_page | Navigating to Groups
2026-01-02 17:34:42,864 | INFO | libs.flows.windows.wja.wja_navigation_page | Navigating to Discovery
2026-01-02 17:34:44,434 | INFO | libs.flows.windows.wja.wja_navigation_page | Navigating to Configuration
2026-01-02 17:34:45,930 | INFO | pytest | ⏱ windows/wja/test_wja4_navigation.py::test_quick_device_discovery took 21.49s
2026-01-02 17:35:38,752 | INFO | pytest | ⏱ windows/wja/test_wja5_group_create.py::test_create_and_delete_group took 51.75s
2026-01-02 17:35:38,756 | INFO | pytest | 🛑 Closing HP Web Jetadmin
2026-01-05 11:59:13,302 | INFO | pytest | 🚀 Launching HP Web Jetadmin (session)
2026-01-05 12:09:21,769 | INFO | pytest | 🚀 Launching HP Web Jetadmin (session)
2026-01-05 12:10:41,057 | INFO | libs.flows.windows.wja.base_page | Resolving HP Web Jetadmin main window
2026-01-05 12:10:41,223 | INFO | libs.flows.windows.wja.wja_main_page | WJA main window is visible
2026-01-05 12:10:41,224 | INFO | pytest | ⏱ windows/wja/test_wja1_launch.py::test_wja_launch took 0.17s
2026-01-05 12:10:44,568 | INFO | libs.flows.windows.wja.wja_main_page | Opened About dialog
2026-01-05 12:10:45,621 | INFO | libs.flows.windows.wja.wja_main_page | Closed About dialog
2026-01-05 12:10:45,623 | INFO | pytest | ⏱ windows/wja/test_wja2_help_about.py::test_help_about_flow took 3.39s
2026-01-05 12:10:48,953 | INFO | libs.flows.windows.wja.wja_main_page | Opened About dialog
2026-01-05 12:10:51,264 | INFO | libs.flows.windows.wja.wja_main_page | Opened About details and closed
2026-01-05 12:10:51,266 | INFO | pytest | ⏱ windows/wja/test_wja2_help_about.py::test_help_about_details_flow took 4.64s
2026-01-05 12:10:52,275 | INFO | libs.flows.windows.wja.wja_device_tree_page | Resolving TreeView once
2026-01-05 12:10:59,875 | INFO | libs.flows.windows.wja.wja_device_tree_page | Caching tree item: \All Devices
2026-01-05 12:10:59,950 | INFO | libs.flows.windows.wja.wja_device_tree_page | Selecting tree item: all
2026-01-05 12:11:03,119 | INFO | libs.flows.windows.wja.wja_device_tree_page | Caching tree item: \Error Devices
2026-01-05 12:11:03,205 | INFO | libs.flows.windows.wja.wja_device_tree_page | Selecting tree item: error
2026-01-05 12:11:04,293 | INFO | libs.flows.windows.wja.wja_device_tree_page | Caching tree item: \Warning Devices
2026-01-05 12:11:04,368 | INFO | libs.flows.windows.wja.wja_device_tree_page | Selecting tree item: warning
2026-01-05 12:11:05,450 | INFO | libs.flows.windows.wja.wja_device_tree_page | Caching tree item: \New (Last Discovery)
2026-01-05 12:11:05,529 | INFO | libs.flows.windows.wja.wja_device_tree_page | Selecting tree item: new
2026-01-05 12:11:06,619 | INFO | libs.flows.windows.wja.wja_device_tree_page | Caching tree item: \Ungrouped Devices
2026-01-05 12:11:06,702 | INFO | libs.flows.windows.wja.wja_device_tree_page | Selecting tree item: ungrouped
2026-01-05 12:11:07,793 | INFO | pytest | ⏱ windows/wja/test_wja3_tree_navigate.py::test_device_navigation_tree_items took 15.52s
2026-01-05 12:11:15,527 | INFO | libs.flows.windows.wja.wja_navigation_page | Navigating to Overview
2026-01-05 12:11:17,789 | INFO | libs.flows.windows.wja.wja_navigation_page | Navigating to Groups
2026-01-05 12:11:19,012 | INFO | libs.flows.windows.wja.wja_navigation_page | Navigating to Discovery
2026-01-05 12:11:20,457 | INFO | libs.flows.windows.wja.wja_navigation_page | Navigating to Configuration
2026-01-05 12:11:21,858 | INFO | pytest | ⏱ windows/wja/test_wja4_navigation.py::test_quick_device_discovery took 13.06s
2026-01-05 12:11:55,641 | INFO | pytest | ⏱ windows/wja/test_wja5_group_create.py::test_create_and_delete_group took 32.77s
2026-01-05 12:11:55,643 | INFO | pytest | 🛑 Closing HP Web Jetadmin
2026-01-05 12:14:15,179 | INFO | pytest | 🚀 Launching HP Web Jetadmin (session)
2026-01-05 12:15:34,068 | INFO | libs.flows.windows.wja.base_page | Resolving HP Web Jetadmin main window
2026-01-05 12:15:34,276 | INFO | libs.flows.windows.wja.wja_main_page | WJA main window is visible
2026-01-05 12:15:34,277 | INFO | pytest | ⏱ windows/wja/test_wja1_launch.py::test_wja_launch took 0.21s
2026-01-05 12:15:37,587 | INFO | libs.flows.windows.wja.wja_main_page | Opened About dialog
2026-01-05 12:15:38,641 | INFO | libs.flows.windows.wja.wja_main_page | Closed About dialog
2026-01-05 12:15:38,643 | INFO | pytest | ⏱ windows/wja/test_wja2_help_about.py::test_help_about_flow took 3.36s
2026-01-05 12:15:41,960 | INFO | libs.flows.windows.wja.wja_main_page | Opened About dialog
2026-01-05 12:15:44,270 | INFO | libs.flows.windows.wja.wja_main_page | Opened About details and closed
2026-01-05 12:15:44,273 | INFO | pytest | ⏱ windows/wja/test_wja2_help_about.py::test_help_about_details_flow took 4.62s
2026-01-05 12:15:45,283 | INFO | libs.flows.windows.wja.wja_device_tree_page | Resolving TreeView once
2026-01-05 12:15:53,319 | INFO | libs.flows.windows.wja.wja_device_tree_page | Caching tree item: \All Devices
2026-01-05 12:15:53,393 | INFO | libs.flows.windows.wja.wja_device_tree_page | Selecting tree item: all
2026-01-05 12:15:56,402 | INFO | libs.flows.windows.wja.wja_device_tree_page | Caching tree item: \Error Devices
2026-01-05 12:15:56,524 | INFO | libs.flows.windows.wja.wja_device_tree_page | Selecting tree item: error
2026-01-05 12:15:57,655 | INFO | libs.flows.windows.wja.wja_device_tree_page | Caching tree item: \Warning Devices
2026-01-05 12:15:57,754 | INFO | libs.flows.windows.wja.wja_device_tree_page | Selecting tree item: warning
2026-01-05 12:15:58,857 | INFO | libs.flows.windows.wja.wja_device_tree_page | Caching tree item: \New (Last Discovery)
2026-01-05 12:15:58,945 | INFO | libs.flows.windows.wja.wja_device_tree_page | Selecting tree item: new
2026-01-05 12:16:00,041 | INFO | libs.flows.windows.wja.wja_device_tree_page | Caching tree item: \Ungrouped Devices
2026-01-05 12:16:00,127 | INFO | libs.flows.windows.wja.wja_device_tree_page | Selecting tree item: ungrouped
2026-01-05 12:16:01,216 | INFO | pytest | ⏱ windows/wja/test_wja3_tree_navigate.py::test_device_navigation_tree_items took 15.93s
2026-01-05 12:16:10,605 | INFO | libs.flows.windows.wja.wja_navigation_page | Navigating to Overview
2026-01-05 12:16:12,739 | INFO | libs.flows.windows.wja.wja_navigation_page | Navigating to Groups
2026-01-05 12:16:13,972 | INFO | libs.flows.windows.wja.wja_navigation_page | Navigating to Discovery
2026-01-05 12:16:15,415 | INFO | libs.flows.windows.wja.wja_navigation_page | Navigating to Configuration
2026-01-05 12:16:16,809 | INFO | pytest | ⏱ windows/wja/test_wja4_navigation.py::test_quick_device_discovery took 14.59s
2026-01-05 12:16:50,512 | INFO | pytest | ⏱ windows/wja/test_wja5_group_create.py::test_create_and_delete_group took 32.69s
2026-01-05 12:16:50,515 | INFO | pytest | 🛑 Closing HP Web Jetadmin
2026-01-05 14:15:37,982 | INFO | pytest | 🚀 Launching HP Web Jetadmin (session)
2026-01-05 14:17:00,099 | INFO | libs.flows.windows.wja.base_page | Resolving HP Web Jetadmin main window
2026-01-05 14:17:00,291 | INFO | libs.flows.windows.wja.wja_main_page | WJA main window is visible
2026-01-05 14:17:00,292 | INFO | pytest | ⏱ windows/wja/test_wja1_launch.py::test_wja_launch took 0.19s
2026-01-05 14:17:03,612 | INFO | libs.flows.windows.wja.wja_main_page | Opened About dialog
2026-01-05 14:17:04,668 | INFO | libs.flows.windows.wja.wja_main_page | Closed About dialog
2026-01-05 14:17:04,671 | INFO | pytest | ⏱ windows/wja/test_wja2_help_about.py::test_help_about_flow took 3.37s
2026-01-05 14:17:08,012 | INFO | libs.flows.windows.wja.wja_main_page | Opened About dialog
2026-01-05 14:17:10,323 | INFO | libs.flows.windows.wja.wja_main_page | Opened About details and closed
2026-01-05 14:17:10,324 | INFO | pytest | ⏱ windows/wja/test_wja2_help_about.py::test_help_about_details_flow took 4.64s
2026-01-05 14:17:11,334 | INFO | libs.flows.windows.wja.wja_device_tree_page | Resolving TreeView once
2026-01-05 14:17:18,989 | INFO | libs.flows.windows.wja.wja_device_tree_page | Caching tree item: \All Devices
2026-01-05 14:17:19,069 | INFO | libs.flows.windows.wja.wja_device_tree_page | Selecting tree item: all
2026-01-05 14:17:22,313 | INFO | libs.flows.windows.wja.wja_device_tree_page | Caching tree item: \Error Devices
2026-01-05 14:17:22,411 | INFO | libs.flows.windows.wja.wja_device_tree_page | Selecting tree item: error
2026-01-05 14:17:23,501 | INFO | libs.flows.windows.wja.wja_device_tree_page | Caching tree item: \Warning Devices
2026-01-05 14:17:23,579 | INFO | libs.flows.windows.wja.wja_device_tree_page | Selecting tree item: warning
2026-01-05 14:17:24,663 | INFO | libs.flows.windows.wja.wja_device_tree_page | Caching tree item: \New (Last Discovery)
2026-01-05 14:17:24,744 | INFO | libs.flows.windows.wja.wja_device_tree_page | Selecting tree item: new
2026-01-05 14:17:25,835 | INFO | libs.flows.windows.wja.wja_device_tree_page | Caching tree item: \Ungrouped Devices
